MBLNR|MJAHR|BLDAT|BUDAT|WERKS|MATNR|MENGE|MEINS|ERFMG|ERFME|BWART|SHKZG|NETWR|WAERS|LIFNR|XBLNR
5838145536|2025|01012025|01012025|DE02  |MAT_914445_REV2|398.819|KG|398.819|KG|101|S|42335.69|EUR|000000112|
5381825665|2025|01012025|01012025|US02  |MAT_449561_REV1|1709.869|L||L|501|S|502550.84|USD|000002212|
5180283526|2025|02012025|02012025|MUM01 |RMF-CHE-780L|1775.16|L|1775.16|L|101|H|347549.14|INR|000004611|PO-2026116
5910993628|2025|02012025|02012025|IN02  |397882025326682616|470.307|MT|470.307|MT|101|H|233673.52|INR|000009981|PO-2026936
5672427841|2025|03.01.2025|01012025|US01  |Z-FUEL-5836|46676.525|L|46676.525|L|101|H|21642511.69|USD|000002211|
5059036902|2025|01012025|03012025|DE01  |692790784707452984|25208.948|L||L|101|H|7202562.3|EUR|000000112|PO-2025714
5635052918|2025|04012025|04012025|IN01  |MAT_765409_REV2|775.071|L|775.071|L|541|S|206545.68|INR|000009981|
5617029913|2025|"=""02.01.2025"""|03012025|US02  |MAT_449427_REV2|6391.558|L|6391.558|L|101|S|2259986.13|USD|000002212|PO-2025872
5668810942|2025|02012025|04012025|IN02  |219277883081572375|620.683|L|620.683|L|102|H|147765.36|INR|000004611|
5097501061|2025|02012025|04012025|IN01  |MAT_805562_B|142.187|BOX|142.187|BOX|101|S|31937.35|INR|000009981|PO-2025052
5118298410|2025|04012025|05012025|LON02 |MAT_775414_REV1|1511.324|L|1511.324|L|501|H|724057.52|GBP|000005551|
5116703293|2025|04012025|04.01.2025|US02  |Z-LUBE-2477|1973.058|L|1973.058|L|501|S|98709.0|USD|000002211|PO-2026778
5964830775|2025|05012025|02012025|MUM01 |MAT_671150_REV2|6734.472|L|6734.472|L|101|H|2024641.55|INR|000009981|PO-2025766
5376500048|2025|01/03/2025|03012025|US02  |Z-STEEL-2572|20650.462|L|20650.462|L|501|S|1201685.96|USD|000002211|PO-2025965
5636290001|2025|01012025|02012025|DE01  |RMF-DIE-163KG|18923.488|L||L|321|S|2092318.04|EUR|000000112|PO-2025511
5821418829|2025|06012025|06012025|MUM01 |156318143427037765|366.741|MT|366.741||201|H|84690.81|INR|000009981|
5762957050|2025|06012025|04012025|DEL05 |MAT_674594_B|1585.227|L|1585.227|L|101|S|472349.63|INR|000009981|PO-2025692
5053195948|2025|06012025|06012025|FRA01 |Z-CHEM-2673|1738.282|L|1738.282|L|101|S|839046.33|EUR|000000112|
5586066280|2025|01012025|03012025|LON02 |MAT_622060_REV1|1214.542|L|1214.542|L|101|S|590872.57|GBP|000005551|PO-2026974
5827165087|2025|01/05/2025|02012025|US02  |093327992788175955|120.604|HR||HR|101|S|7759.06|USD|000002211|PO-2026243
5801439477|2025|02012025|01.01.2025|DE01  |652508148805389501|589.534|L|589.534|L|101|H|128811.26|EUR|000000112|PO-2025246
5309779974|2025|04012025|05012025|DE01  |990103859431286444|8902.07|L|8902.07|L|101|H|3770132.47|EUR|000000112|PO-2026261
5265392402|2025|07012025|03012025|DEL05 |RMF-DIE-515L|2175.831|L|2175.831|L|101|H|902174.01|INR|000009981|PO-2026601
5106086467|2025|06.01.2025|04012025|IN02  |Z-LUBE-1264|1616.47|L|1616.47|L|101|S|668509.35|INR|000009981|PO-2026610
5468918690|2025|01.01.2025|08012025|FRA01 |MAT_147896_B|426.694|EA||EA|101|S|180035.52|EUR|000000112|
5767050539|2025|05012025|05012025|UK01  |309450450284493157|8198.205|L|8198.205|L|101|H|3991810.08|GBP|000005551|
