account_number,service_address,meter_id,billing_start,billing_end,read_type,consumption_kwh,peak_demand_kw,demand_charge,energy_charge,total_amount,currency
464947293,"Mumbai Corporate Office, Plot 45",MTR-GER-472,2024-12-02,2025-01-01,ACTUAL,92970.33,995.98,127744.15,1305118.05,1432862.2,USD
823873569,"Mumbai Corporate Office, Plot 45",MTR-IND-615,2024-12-02,2025-01-01,ACTUAL,108422.33,1873.99,255514.89,1103614.83,1359129.72,USD
119050769,"London Sales Office, Sector 12",MTR-UK-688,2024-12-02,2025-01-01,ACTUAL,77654.75,1416.6,114952.09,528768.34,643720.43,USD
846032296,"Pune Manufacturing Plant, Plot 45",MTR-IND-859,2024-12-02,2025-01-01,ACTUAL,977217.7,17681.38,2040739.86,6932118.79,8972858.65,USD
104758336,"Frankfurt Logistics Hub, Plot 45",MTR-USA-279,2024-12-02,2025-01-01,ACTUAL,345787.43,4816.78,494505.09,4042957.13,4537462.22,USD
802218699,"Pune Manufacturing Plant, Plot 45",MTR-USA-715,2024-12-02,2025-01-01,ACTUAL,782596.18,11042.09,1484011.4,5448854.46,6932865.86,USD
251561302,"Pune Manufacturing Plant, Sector 12",MTR-IND-674,2024-12-02,2025-01-01,ACTUAL,820794.39,9749.45,1270386.65,4296201.23,5566587.88,USD
705591754,"Pune Manufacturing Plant, Plot 45",MTR-GER-056,2024-12-02,2025-01-01,ACTUAL,921146.51,9515.07,875972.78,10347423.13,11223395.91,USD
123787071,"London Sales Office, Industrial Area",MTR-USA-017,2024-12-02,2025-01-01,ACTUAL,100693.19,1570.53,147934.45,1484184.44,1632118.89,USD
755932121,"Chicago Distribution Center, Sector 12",MTR-USA-523,2024-12-02,2025-01-01,ACTUAL,587641.07,9058.72,1267534.42,3472561.98,4740096.4,USD
335181812,"Mumbai Corporate Office, Sector 12",MTR-UK-613,2024-12-02,2025-01-01,ACTUAL,119023.96,1468.89,162248.66,1027390.7,1189639.36,USD
521418863,"London Sales Office, Plot 45",MTR-UK-904,2024-12-02,2025-01-01,ACTUAL,73821.45,1039.8,143194.59,550489.38,693683.97,USD
273582709,"Chicago Distribution Center, Sector 12",MTR-IND-660,2024-12-02,2025-01-01,ACTUAL,380622.59,6290.93,723037.67,5004333.38,5727371.05,USD
545350460,"Mumbai Corporate Office, Industrial Area",MTR-UK-773,2024-12-02,2025-01-01,ACTUAL,98545.2,1827.38,256788.47,983456.0,1240244.47,USD
673930891,"Mumbai Corporate Office, Industrial Area",MTR-IND-352,2024-12-02,2025-01-01,ACTUAL,87935.36,1229.81,119207.84,1251387.34,1370595.18,USD
263139786,"Frankfurt Logistics Hub, Sector 12",MTR-GER-557,2024-12-02,2025-01-01,ESTIMATED,354526.26,6114.22,836596.34,2405606.18,3242202.52,USD
541696263,"London Sales Office, Plot 45",MTR-GER-362,2024-12-02,2025-01-01,ACTUAL,67489.78,743.75,61635.72,779662.87,841298.59,USD
411541757,"Mumbai Corporate Office, Industrial Area",MTR-UK-541,2024-12-02,2025-01-01,ACTUAL,123620.94,2181.83,211010.26,1687820.24,1898830.5,USD
130634244,"Mumbai Corporate Office, Plot 45",MTR-UK-395,2024-12-02,2025-01-01,ESTIMATED,127265.85,1810.34,261209.08,1294162.61,1555371.69,USD
575043809,"London Sales Office, Industrial Area",MTR-IND-304,2024-12-02,2025-01-01,ACTUAL,68486.89,715.53,82935.08,696646.17,779581.25,USD
276143205,"Pune Manufacturing Plant, Industrial Area",MTR-GER-559,2024-12-02,2025-01-01,ACTUAL,935893.84,13521.52,1388038.08,13180528.11,14568566.19,USD
504035270,"Frankfurt Logistics Hub, Sector 12",MTR-IND-574,2024-12-02,2025-01-01,ACTUAL,250448.73,3432.43,508089.19,3344999.46,3853088.65,USD
326087402,"Frankfurt Logistics Hub, Sector 12",MTR-IND-944,2024-12-02,2025-01-01,ACTUAL,261875.88,4674.31,488399.0,3083046.03,3571445.03,USD
158192542,"London Sales Office, Industrial Area",MTR-UK-363,2024-12-02,2025-01-01,ACTUAL,78046.31,1498.23,139633.43,1046435.44,1186068.87,USD
415326046,"Pune Manufacturing Plant, Industrial Area",MTR-GER-482,2024-12-02,2025-01-01,ACTUAL,647473.1,10372.9,952339.57,4017601.38,4969940.95,USD
526182923,"Pune Manufacturing Plant, Sector 12",MTR-IND-266,2025-01-01,2025-01-31,ACTUAL,775690.48,15463.75,1779613.0,6779450.93,8559063.93,USD
825491047,"Pune Manufacturing Plant, Industrial Area",MTR-USA-170,2025-01-01,2025-01-31,ACTUAL,544019.48,10368.03,1310460.23,5618008.87,6928469.1,USD
991311980,"Mumbai Corporate Office, Industrial Area",MTR-GER-048,2025-01-01,2025-01-31,ACTUAL,113166.14,1808.87,182110.51,1676256.32,1858366.83,USD
875834815,"Frankfurt Logistics Hub, Industrial Area",MTR-USA-539,2025-01-01,2025-01-31,ACTUAL,414365.53,5786.02,611131.84,6112533.99,6723665.83,USD
735028622,"Mumbai Corporate Office, Sector 12",MTR-GER-142,2025-01-01,2025-01-31,ACTUAL,91672.16,1326.65,175808.62,590244.06,766052.68,USD
716007766,"Pune Manufacturing Plant, Industrial Area",MTR-IND-272,2025-01-01,2025-01-31,ACTUAL,775491.19,9251.01,1369515.98,9601226.01,10970741.99,USD
329927115,"London Sales Office, Industrial Area",MTR-IND-915,2025-01-01,2025-01-31,ACTUAL,98262.39,1716.57,199319.34,1089277.34,1288596.68,USD
558672379,"Frankfurt Logistics Hub, Plot 45",MTR-GER-459,2025-01-01,2025-01-31,ACTUAL,410117.6,6922.32,752140.42,2796174.53,3548314.95,USD
580788480,"Frankfurt Logistics Hub, Plot 45",MTR-IND-197,2025-01-01,2025-01-31,ACTUAL,298533.92,4544.24,641004.5,4447501.07,5088505.57,USD
713829669,"Pune Manufacturing Plant, Industrial Area",MTR-UK-970,2025-01-01,2025-01-31,ACTUAL,595808.64,6340.27,701816.87,5497226.13,6199043.0,USD
