meter_id,timestamp,kwh_interval,quality_flag
MTR-GER-958,2026-05-21T00:00:00,84.031,ACTUAL
MTR-GER-958,2026-05-21T01:00:00,26.228,ACTUAL
MTR-GER-958,2026-05-21T02:00:00,165.743,ACTUAL
MTR-GER-958,2026-05-21T03:00:00,30.65,ACTUAL
MTR-GER-958,2026-05-21T04:00:00,83.9,ACTUAL
MTR-GER-958,2026-05-21T05:00:00,43.925,ACTUAL
MTR-GER-958,2026-05-21T06:00:00,99.682,ACTUAL
MTR-GER-958,2026-05-21T07:00:00,103.567,ACTUAL
MTR-GER-958,2026-05-21T08:00:00,194.285,ACTUAL
MTR-GER-958,2026-05-21T09:00:00,573.436,ACTUAL
MTR-GER-958,2026-05-21T10:00:00,171.791,ACTUAL
MTR-GER-958,2026-05-21T11:00:00,465.915,ACTUAL
MTR-GER-958,2026-05-21T12:00:00,314.483,ACTUAL
MTR-GER-958,2026-05-21T14:00:00,356.905,ACTUAL
MTR-GER-958,2026-05-21T16:00:00,561.366,ACTUAL
MTR-GER-958,2026-05-21T17:00:00,140.739,ACTUAL
MTR-GER-958,2026-05-21T18:00:00,74.132,POWER_OUTAGE
MTR-GER-958,2026-05-21T19:00:00,142.503,ACTUAL
MTR-GER-958,2026-05-21T20:00:00,41.345,ACTUAL
MTR-GER-958,2026-05-21T21:00:00,51.99,ACTUAL
MTR-GER-958,2026-05-21T22:00:00,168.102,ACTUAL
MTR-GER-958,2026-05-21T23:00:00,137.865,ACTUAL
MTR-GER-405,2026-05-21T00:00:00,137.429,ACTUAL
MTR-GER-405,2026-05-21T01:00:00,228.737,ACTUAL
MTR-GER-405,2026-05-21T02:00:00,99.901,ACTUAL
MTR-GER-405,2026-05-21T03:00:00,166.96,ACTUAL
MTR-GER-405,2026-05-21T04:00:00,217.413,ACTUAL
MTR-GER-405,2026-05-21T05:00:00,221.642,ACTUAL
MTR-GER-405,2026-05-21T06:00:00,416.591,ACTUAL
MTR-GER-405,2026-05-21T07:00:00,563.451,ACTUAL
MTR-GER-405,2026-05-21T08:00:00,161.273,ACTUAL
MTR-GER-405,2026-05-21T09:00:00,424.163,ACTUAL
MTR-GER-405,2026-05-21T10:00:00,598.505,ACTUAL
MTR-GER-405,2026-05-21T11:00:00,438.822,ACTUAL
MTR-GER-405,2026-05-21T12:00:00,579.512,ACTUAL
MTR-GER-405,2026-05-21T13:00:00,196.786,ACTUAL
MTR-GER-405,2026-05-21T14:00:00,562.555,ACTUAL
MTR-GER-405,2026-05-21T15:00:00,152.91,ACTUAL
MTR-GER-405,2026-05-21T16:00:00,296.754,ACTUAL
MTR-GER-405,2026-05-21T18:00:00,533.219,ACTUAL
MTR-GER-405,2026-05-21T19:00:00,569.291,ACTUAL
MTR-GER-405,2026-05-21T20:00:00,429.838,ACTUAL
MTR-GER-405,2026-05-21T21:00:00,69.14,ACTUAL
MTR-GER-405,2026-05-21T22:00:00,183.974,ACTUAL
MTR-GER-405,2026-05-21T23:00:00,138.327,ACTUAL
MTR-UK-439,2026-05-21T00:00:00,71.62,ACTUAL
MTR-UK-439,2026-05-21T01:00:00,171.043,ACTUAL
MTR-UK-439,2026-05-21T02:00:00,20.259,ACTUAL
MTR-UK-439,2026-05-21T03:00:00,148.251,ACTUAL
MTR-UK-439,2026-05-21T04:00:00,63.672,ACTUAL
MTR-UK-439,2026-05-21T05:00:00,118.118,ACTUAL
MTR-UK-439,2026-05-21T07:00:00,163.188,ACTUAL
MTR-UK-439,2026-05-21T08:00:00,395.513,ACTUAL
MTR-UK-439,2026-05-21T09:00:00,472.156,ACTUAL
MTR-UK-439,2026-05-21T10:00:00,185.427,ACTUAL
MTR-UK-439,2026-05-21T11:00:00,457.064,ACTUAL
MTR-UK-439,2026-05-21T12:00:00,552.036,ACTUAL
MTR-UK-439,2026-05-21T13:00:00,161.685,ACTUAL
MTR-UK-439,2026-05-21T15:00:00,314.131,ACTUAL
MTR-UK-439,2026-05-21T16:00:00,492.975,ACTUAL
MTR-UK-439,2026-05-21T18:00:00,193.307,ACTUAL
MTR-UK-439,2026-05-21T19:00:00,24.518,ACTUAL
MTR-UK-439,2026-05-21T20:00:00,30.891,ACTUAL
MTR-UK-439,2026-05-21T21:00:00,123.292,ACTUAL
MTR-UK-439,2026-05-21T22:00:00,119.676,ACTUAL
MTR-UK-439,2026-05-21T23:00:00,99.415,ACTUAL
MTR-UK-143,2026-05-21T00:00:00,179.165,ACTUAL
MTR-UK-143,2026-05-21T01:00:00,108.816,ACTUAL
MTR-UK-143,2026-05-21T02:00:00,64.245,ACTUAL
MTR-UK-143,2026-05-21T03:00:00,39.952,ACTUAL
MTR-UK-143,2026-05-21T04:00:00,119.891,ACTUAL
MTR-UK-143,2026-05-21T05:00:00,81.162,ACTUAL
MTR-UK-143,2026-05-21T06:00:00,123.276,ACTUAL
MTR-UK-143,2026-05-21T08:00:00,556.111,ACTUAL
MTR-UK-143,2026-05-21T10:00:00,293.424,ACTUAL
MTR-UK-143,2026-05-21T11:00:00,373.723,ACTUAL
MTR-UK-143,2026-05-21T12:00:00,506.161,ACTUAL
MTR-UK-143,2026-05-21T13:00:00,71.019,ACTUAL
MTR-UK-143,2026-05-21T14:00:00,112.21,ACTUAL
MTR-UK-143,2026-05-21T15:00:00,490.482,ACTUAL
MTR-UK-143,2026-05-21T17:00:00,584.684,ACTUAL
MTR-UK-143,2026-05-21T18:00:00,591.656,ACTUAL
MTR-UK-143,2026-05-21T19:00:00,178.759,ACTUAL
MTR-UK-143,2026-05-21T20:00:00,77.006,ACTUAL
MTR-UK-143,2026-05-21T21:00:00,49.151,ACTUAL
MTR-UK-143,2026-05-21T22:00:00,26.437,ACTUAL
MTR-UK-143,2026-05-21T23:00:00,80.829,ACTUAL
MTR-UK-558,2026-05-21T00:00:00,146.941,ACTUAL
MTR-UK-558,2026-05-21T01:00:00,260.004,ACTUAL
MTR-UK-558,2026-05-21T02:00:00,152.797,ACTUAL
MTR-UK-558,2026-05-21T04:00:00,85.423,ACTUAL
MTR-UK-558,2026-05-21T05:00:00,261.02,ACTUAL
MTR-UK-558,2026-05-21T07:00:00,170.802,ACTUAL
MTR-UK-558,2026-05-21T08:00:00,226.777,ACTUAL
MTR-UK-558,2026-05-21T09:00:00,73.893,ACTUAL
MTR-UK-558,2026-05-21T10:00:00,221.018,ACTUAL
MTR-UK-558,2026-05-21T11:00:00,545.408,ACTUAL
MTR-UK-558,2026-05-21T12:00:00,399.538,ACTUAL
MTR-UK-558,2026-05-21T13:00:00,521.285,ACTUAL
MTR-UK-558,2026-05-21T14:00:00,77.601,ACTUAL
MTR-UK-558,2026-05-21T15:00:00,486.142,ACTUAL
MTR-UK-558,2026-05-21T16:00:00,591.893,ACTUAL
MTR-UK-558,2026-05-21T17:00:00,80.806,ACTUAL
MTR-UK-558,2026-05-21T18:00:00,142.776,ACTUAL
MTR-UK-558,2026-05-21T19:00:00,246.734,ACTUAL
MTR-UK-558,2026-05-21T20:00:00,463.345,ACTUAL
MTR-UK-558,2026-05-21T21:00:00,262.781,ACTUAL
MTR-UK-558,2026-05-21T22:00:00,537.974,ACTUAL
MTR-UK-558,2026-05-21T23:00:00,444.399,ACTUAL
MTR-USA-535,2026-05-21T01:00:00,141.916,ACTUAL
MTR-USA-535,2026-05-21T02:00:00,154.518,ACTUAL
MTR-USA-535,2026-05-21T03:00:00,159.755,ACTUAL
MTR-USA-535,2026-05-21T04:00:00,151.434,ACTUAL
MTR-USA-535,2026-05-21T05:00:00,124.951,ACTUAL
MTR-USA-535,2026-05-21T06:00:00,143.807,ACTUAL
MTR-USA-535,2026-05-21T07:00:00,94.273,ACTUAL
MTR-USA-535,2026-05-21T08:00:00,187.6,ACTUAL
MTR-USA-535,2026-05-21T09:00:00,484.043,ACTUAL
MTR-USA-535,2026-05-21T10:00:00,481.489,ACTUAL
MTR-USA-535,2026-05-21T11:00:00,549.798,ACTUAL
MTR-USA-535,2026-05-21T12:00:00,236.293,ACTUAL
MTR-USA-535,2026-05-21T13:00:00,147.21,ACTUAL
MTR-USA-535,2026-05-21T14:00:00,483.745,ACTUAL
MTR-USA-535,2026-05-21T15:00:00,404.957,POWER_OUTAGE
MTR-USA-535,2026-05-21T16:00:00,259.517,ACTUAL
MTR-USA-535,2026-05-21T17:00:00,220.812,ACTUAL
MTR-USA-535,2026-05-21T18:00:00,429.935,ACTUAL
MTR-USA-535,2026-05-21T20:00:00,93.66,ACTUAL
MTR-USA-535,2026-05-21T21:00:00,68.688,ACTUAL
MTR-USA-535,2026-05-21T22:00:00,102.635,ACTUAL
MTR-USA-535,2026-05-21T23:00:00,125.541,ACTUAL
MTR-USA-856,2026-05-21T02:00:00,41.031,ACTUAL
MTR-USA-856,2026-05-21T03:00:00,47.43,ACTUAL
MTR-USA-856,2026-05-21T04:00:00,11.573,ACTUAL
MTR-USA-856,2026-05-21T05:00:00,30.101,ACTUAL
MTR-USA-856,2026-05-21T06:00:00,55.997,ACTUAL
MTR-USA-856,2026-05-21T07:00:00,44.761,ACTUAL
MTR-USA-856,2026-05-21T08:00:00,261.521,ACTUAL
MTR-USA-856,2026-05-21T09:00:00,482.684,ACTUAL
MTR-USA-856,2026-05-21T10:00:00,412.315,ACTUAL
MTR-USA-856,2026-05-21T11:00:00,414.469,ACTUAL
MTR-USA-856,2026-05-21T12:00:00,502.956,ACTUAL
MTR-USA-856,2026-05-21T13:00:00,202.753,ACTUAL
MTR-USA-856,2026-05-21T14:00:00,307.647,ACTUAL
MTR-USA-856,2026-05-21T15:00:00,102.0,ACTUAL
MTR-USA-856,2026-05-21T16:00:00,118.166,ACTUAL
MTR-USA-856,2026-05-21T17:00:00,478.153,ACTUAL
MTR-USA-856,2026-05-21T18:00:00,187.229,ACTUAL
MTR-USA-856,2026-05-21T19:00:00,35.964,ACTUAL
MTR-USA-856,2026-05-21T20:00:00,29.473,ACTUAL
MTR-USA-856,2026-05-21T21:00:00,15.446,ACTUAL
MTR-USA-856,2026-05-21T22:00:00,26.752,ACTUAL
MTR-USA-856,2026-05-21T23:00:00,58.406,MANUAL_ENTRY
MTR-UK-485,2026-05-21T00:00:00,156.625,ACTUAL
MTR-UK-485,2026-05-21T01:00:00,300.53,ACTUAL
MTR-UK-485,2026-05-21T02:00:00,214.079,ACTUAL
MTR-UK-485,2026-05-21T03:00:00,349.996,ACTUAL
MTR-UK-485,2026-05-21T04:00:00,323.086,ACTUAL
MTR-UK-485,2026-05-21T05:00:00,277.982,ACTUAL
MTR-UK-485,2026-05-21T06:00:00,212.453,ACTUAL
MTR-UK-485,2026-05-21T07:00:00,476.418,ACTUAL
MTR-UK-485,2026-05-21T08:00:00,288.616,ACTUAL
MTR-UK-485,2026-05-21T09:00:00,488.096,ACTUAL
MTR-UK-485,2026-05-21T10:00:00,443.471,ACTUAL
MTR-UK-485,2026-05-21T12:00:00,157.396,ACTUAL
MTR-UK-485,2026-05-21T13:00:00,396.147,ACTUAL
MTR-UK-485,2026-05-21T14:00:00,237.529,ACTUAL
MTR-UK-485,2026-05-21T15:00:00,197.366,ACTUAL
MTR-UK-485,2026-05-21T16:00:00,286.949,ACTUAL
MTR-UK-485,2026-05-21T17:00:00,245.229,ACTUAL
MTR-UK-485,2026-05-21T18:00:00,372.267,ACTUAL
MTR-UK-485,2026-05-21T20:00:00,559.002,ACTUAL
MTR-UK-485,2026-05-21T21:00:00,358.948,ACTUAL
MTR-UK-485,2026-05-21T22:00:00,435.338,ACTUAL
MTR-UK-485,2026-05-21T23:00:00,121.761,ACTUAL
MTR-GER-319,2026-05-21T00:00:00,10.788,ACTUAL
MTR-GER-319,2026-05-21T01:00:00,6.932,ACTUAL
MTR-GER-319,2026-05-21T02:00:00,11.714,ACTUAL
MTR-GER-319,2026-05-21T03:00:00,41.016,ACTUAL
MTR-GER-319,2026-05-21T04:00:00,10.581,ACTUAL
MTR-GER-319,2026-05-21T05:00:00,41.386,ACTUAL
MTR-GER-319,2026-05-21T07:00:00,37.976,ACTUAL
MTR-GER-319,2026-05-21T08:00:00,30.282,ACTUAL
MTR-GER-319,2026-05-21T09:00:00,470.707,ACTUAL
MTR-GER-319,2026-05-21T10:00:00,580.538,ACTUAL
MTR-GER-319,2026-05-21T11:00:00,63.35,ACTUAL
MTR-GER-319,2026-05-21T12:00:00,586.834,ACTUAL
MTR-GER-319,2026-05-21T13:00:00,233.951,ACTUAL
MTR-GER-319,2026-05-21T14:00:00,505.401,ACTUAL
MTR-GER-319,2026-05-21T15:00:00,310.647,ACTUAL
MTR-GER-319,2026-05-21T16:00:00,553.368,ACTUAL
MTR-GER-319,2026-05-21T18:00:00,222.126,ACTUAL
MTR-GER-319,2026-05-21T19:00:00,37.477,ACTUAL
MTR-GER-319,2026-05-21T20:00:00,38.207,ACTUAL
MTR-GER-319,2026-05-21T21:00:00,39.154,ACTUAL
MTR-GER-319,2026-05-21T23:00:00,59.292,ACTUAL
MTR-GER-552,2026-05-21T01:00:00,181.733,ACTUAL
MTR-GER-552,2026-05-21T02:00:00,244.252,ACTUAL
MTR-GER-552,2026-05-21T03:00:00,95.894,ACTUAL
MTR-GER-552,2026-05-21T04:00:00,102.073,ACTUAL
