MBLNR|MJAHR|BLDAT|BUDAT|WERKS|MATNR|MENGE|MEINS|BWART|NETWR|WAERS|LIFNR
5103389694|2025|05022025|05012025|CHI03 |FUEL_PETROL_804|4728.931|L|101|333885.13|USD|97298153
5924704126|2025|08072025|15012025|MUM01 |FUEL_HEAVY_FUEL_OIL_645|8.489|MT|101|761.55|INR|86276167
5261534221|2026|10122025|31012026|US01  |FUEL_HEAVY_FUEL_OIL_184|15.661|MT|101|865.42|USD|50160031
5770448718|2025|13092025|19052025|DEL05 |FUEL_DIESEL_704|2191.496|L|101|290671.15|INR|87951611
5932153644|2026|30072025|02012026|DEL05 |FUEL_HEAVY_FUEL_OIL_125|75.894|MT|101|6805.88|INR|57710494
5186454532|2025|21062025|03012025|LON02 |FUEL_DIESEL_418|3593.865|L|101|361036.83|GBP|18570070
5118338312|2025|05052025|14102025|US01  |FUEL_PETROL_934|3086.842|L|101|198059.41|USD|58055205
5960325870|2026|10092025|02042025|CHI03 |FUEL_NATURAL_GAS_232|1890.769|M3|101|273767.97|USD|51922526
5016479035|2025|28032025|25032025|IN02  |FUEL_DIESEL_933|904.382|L|101|120734.27|INR|21538185
5808845925|2026|05022026|23082025|DE01     |FUEL_NATURAL_GAS_199|315.657|M3|101|46803.06|EUR|36444107
5384474148|2025|21032025|22022025|DE01  |FUEL_NATURAL_GAS_300|700.637|M3|101|77101.29|EUR|30678020
5829786683|2025|08.01.2025|09012025|US02  |FUEL_NATURAL_GAS_400|723.336|M3|101|58192.7|USD|08036057
5460679303|2025|09012025|13012025|LON02 |FUEL_PETROL_135|3708.836|L|101|249046.52|GBP|36171126
5948829223|2026|28052025|"=""10.04.2025"""|CHI03 |FUEL_NATURAL_GAS_301|1852.525|M3|101|102372.18|USD|37027075
5008669272|2025|04032025|07042025|CHI03 |FUEL_PETROL_152|2013.161|L|101|164790.68|USD|34434507
5852143020|2025|01022025|28012025|FRA01 |FUEL_HEAVY_FUEL_OIL_244|65.477|MT|101|3849.88|EUR|83252595
5609468180|2025|08042025|24042025|CHI03 |FUEL_DIESEL_706|1240.763|L|101|127453.78|USD|04720354
5538917579|2026|28122025|23112025|DEL05 |FUEL_DIESEL_282|3830.88|L|101|332750.1|INR|71167677
5808166024|2026|01112025|26102025|UK01  |FUEL_NATURAL_GAS_575|977.267|M3|101|93918.41|GBP|20646649
5443068123|2025|02062025|19032025|MUM01 |FUEL_NATURAL_GAS_847|464.614|M3|101|37217.27|INR|69541469
5668288009|2026|06032026|28.02.2026|FRA01 |FUEL_DIESEL_997|4381.619|L|101|412111.69|EUR|18977273
5689103735|2025|13072025|18052025|US01  |FUEL_HEAVY_FUEL_OIL_633|47.968|MT|101|4251.62|USD|76952292
5096474513|2025|15022025|22012025|UK01  |FUEL_HEAVY_FUEL_OIL_615|63.299|MT|101|8775.33|GBP|24285179
5466277260|2025|24012025|13022025|IN02  |FUEL_PETROL_540|4982.415|L|101|523028.42|INR|79932530
5058795608|2025|02.06.2025|16.01.2025|UK01  |FUEL_HEAVY_FUEL_OIL_372|54.89|MT|101|5894.85|GBP|60754577
5847219257|2026|19102025|28122025|DE02  |FUEL_DIESEL_489|4660.664|L|101|580157.23|EUR|20820688
5078754006|2025|20022025|15022025|IN02  |FUEL_PETROL_720|1246.45|L|101|68101.47|INR|65057886
5243649032|2025|13012025|20022025|US02  |FUEL_NATURAL_GAS_184|1624.653|M3|101|105804.87|USD|53146477
5039699522|2026|29.04.2025|15022026|IN01  |FUEL_PETROL_670|515.282|L|101|63010.45|INR|76632467
5122239267|2025|07052025|22022025|LON02 |FUEL_HEAVY_FUEL_OIL_133|24.122|MT|101|2247.18|GBP|39137193
5325804134|2026|31102025|14022026|DE02  |FUEL_HEAVY_FUEL_OIL_638|49.443|MT|101|6031.02|EUR|10037500
5275664770|2025|23012025|19042025|UK01  |FUEL_DIESEL_245|3236.985|L|101|369306.52|GBP|71059493
5879841524|2025|24.04.2025|20042025|IN01  |FUEL_HEAVY_FUEL_OIL_223|41.526|MT|101|3402.03|INR|91915578
5473441394|2025|07022025|05.01.2025|DE01  |FUEL_HEAVY_FUEL_OIL_265|23.939|MT|101|2332.48|EUR|78922145
5842346988|2025|23.07.2025|26042025|CHI03 |FUEL_DIESEL_929|2225.075|L|101|254897.93|USD|78660274
5269087698|2025|11012025|07022025|LON02 |FUEL_NATURAL_GAS_745|1996.04|M3|101|200203.87|GBP|34214847
5995375251|2026|04032025|26052025|LON02 |FUEL_HEAVY_FUEL_OIL_803|76.905|MT|101|7193.24|GBP|06778231
