meter_id,timestamp,kwh_interval,quality_flag
MTR-USA-527,2026-05-21T01:00:00,23.632,ACTUAL
MTR-USA-527,2026-05-21T02:00:00,50.746,ACTUAL
MTR-USA-527,2026-05-21T03:00:00,34.647,ACTUAL
MTR-USA-527,2026-05-21T04:00:00,52.383,ACTUAL
MTR-USA-527,2026-05-21T05:00:00,18.188,ACTUAL
MTR-USA-527,2026-05-21T06:00:00,44.732,ACTUAL
MTR-USA-527,2026-05-21T07:00:00,30.712,ACTUAL
MTR-USA-527,2026-05-21T08:00:00,264.895,ACTUAL
MTR-USA-527,2026-05-21T09:00:00,542.387,ACTUAL
MTR-USA-527,2026-05-21T10:00:00,274.961,ACTUAL
MTR-USA-527,2026-05-21T11:00:00,141.761,ACTUAL
MTR-USA-527,2026-05-21T12:00:00,290.08,ACTUAL
MTR-USA-527,2026-05-21T13:00:00,276.001,ACTUAL
MTR-USA-527,2026-05-21T14:00:00,349.607,ACTUAL
MTR-USA-527,2026-05-21T15:00:00,525.131,ACTUAL
MTR-USA-527,2026-05-21T16:00:00,89.984,ACTUAL
MTR-USA-527,2026-05-21T17:00:00,532.732,ACTUAL
MTR-USA-527,2026-05-21T18:00:00,80.422,ACTUAL
MTR-USA-527,2026-05-21T19:00:00,33.254,ACTUAL
MTR-USA-527,2026-05-21T20:00:00,47.186,ACTUAL
MTR-USA-527,2026-05-21T22:00:00,29.024,ESTIMATED
MTR-USA-527,2026-05-21T23:00:00,55.345,ACTUAL
MTR-USA-601,2026-05-21T00:00:00,38.825,ACTUAL
MTR-USA-601,2026-05-21T01:00:00,167.575,ACTUAL
MTR-USA-601,2026-05-21T02:00:00,176.728,ACTUAL
MTR-USA-601,2026-05-21T03:00:00,147.031,ACTUAL
MTR-USA-601|2026-05-21T04:00:00|49.964|ACTUAL
MTR-USA-601,2026-05-21T05:00:00,23.945,ACTUAL
MTR-USA-601,2026-05-21T06:00:00,136.505,ACTUAL
MTR-USA-601,2026-05-21T07:00:00,36.292,ACTUAL
MTR-USA-601,2026-05-21T09:00:00,169.785,ACTUAL
MTR-USA-601	2026-05-21T10:00:00	523.82	ACTUAL
MTR-USA-601,2026-05-21T11:00:00,99.21,ACTUAL
MTR-USA-601,2026-05-21T12:00:00,136.792,ACTUAL
MTR-USA-601,2026-05-21T13:00:00,90.314,ACTUAL
MTR-USA-601,2026-05-21T14:00:00,522.405,ACTUAL
MTR-USA-601,2026-05-21T15:00:00,281.954,ACTUAL
MTR-USA-601,2026-05-21T16:00:00,178.505,ACTUAL
MTR-USA-601,2026-05-21T17:00:00,597.56,ACTUAL
MTR-USA-601,2026-05-21T18:00:00,323.692,ACTUAL
MTR-USA-601,2026-05-21T19:00:00,42.699,ACTUAL
MTR-USA-601,2026-05-21T20:00:00,125.169,ACTUAL
MTR-USA-601	2026-05-21T21:00:00	85.066	ACTUAL
MTR-USA-601,2026-05-21T22:00:00,97.194,ACTUAL
MTR-USA-601,2026-05-21T23:00:00,127.615,ACTUAL
MTR-GER-302,2026-05-21T01:00:00,118.197,ACTUAL
MTR-GER-302,2026-05-21T02:00:00,97.768,ACTUAL
MTR-GER-302,2026-05-21T03:00:00,160.921,ACTUAL
MTR-GER-302,2026-05-21T04:00:00,161.01,ACTUAL
MTR-GER-302,2026-05-21T05:00:00,61.822,ACTUAL
MTR-GER-302,2026-05-21T06:00:00,143.63,ACTUAL
MTR-GER-302,2026-05-21T07:00:00,102.589,ACTUAL
MTR-GER-302,2026-05-21T08:00:00,341.189,ACTUAL
MTR-GER-302,2026-05-21T09:00:00,79.361,ACTUAL
MTR-GER-302,2026-05-21T10:00:00,121.367,ACTUAL
MTR-GER-302,2026-05-21T11:00:00,428.912,ACTUAL
MTR-GER-302,2026-05-21T12:00:00,353.754,ACTUAL
MTR-GER-302,2026-05-21T13:00:00,170.646,ACTUAL
MTR-GER-302,2026-05-21T14:00:00,562.815,ACTUAL
MTR-GER-302,2026-05-21T15:00:00,306.735,ACTUAL
MTR-GER-302,2026-05-21T16:00:00,95.605,ACTUAL
MTR-GER-302,2026-05-21T17:00:00,249.222,ACTUAL
MTR-GER-302,2026-05-21T18:00:00,269.714,ACTUAL
MTR-GER-302,2026-05-21T19:00:00,107.576,ACTUAL
MTR-GER-302,2026-05-21T20:00:00,154.847,ACTUAL
MTR-GER-302,2026-05-21T21:00:00,134.189,ACTUAL
MTR-GER-302,2026-05-21T22:00:00,21.589,ACTUAL
MTR-GER-302,2026-05-21T23:00:00,109.015,ACTUAL
MTR-GER-098,2026-05-21T00:00:00,154.855,ACTUAL
MTR-GER-098,2026-05-21T01:00:00,173.417,ACTUAL
MTR-GER-098,2026-05-21T02:00:00,84.534,ACTUAL
MTR-GER-098,2026-05-21T03:00:00,134.069,ACTUAL
MTR-GER-098,2026-05-21T04:00:00,102.365,ACTUAL
MTR-GER-098,2026-05-21T05:00:00,122.403,ACTUAL
MTR-GER-098,2026-05-21T06:00:00,109.571,ACTUAL
MTR-GER-098,2026-05-21T07:00:00,113.501,ACTUAL
MTR-GER-098,2026-05-21T08:00:00,519.851,ACTUAL
MTR-GER-098,2026-05-21T10:00:00,518.337,ACTUAL
MTR-GER-098,2026-05-21T11:00:00,122.439,ACTUAL
MTR-GER-098,2026-05-21T12:00:00,503.347,ACTUAL
MTR-GER-098,2026-05-21T13:00:00,160.088,ACTUAL
MTR-GER-098,2026-05-21T14:00:00,246.623,ACTUAL
MTR-GER-098,2026-05-21T15:00:00,510.367,ACTUAL
MTR-GER-098,2026-05-21T16:00:00,316.033,ACTUAL
MTR-GER-098,2026-05-21T17:00:00,96.177,ACTUAL
MTR-GER-098,2026-05-21T18:00:00,569.786,ACTUAL
MTR-GER-098,2026-05-21T19:00:00,97.365,ACTUAL
MTR-GER-098,2026-05-21T20:00:00,33.524,ACTUAL
MTR-GER-098,2026-05-21T21:00:00,30.166,ACTUAL
MTR-GER-098,2026-05-21T22:00:00,99.602,ACTUAL
MTR-GER-098,2026-05-21T23:00:00,71.381,ACTUAL
MTR-USA-183,2026-05-21T01:00:00,192.352,ACTUAL
MTR-USA-183,2026-05-21T02:00:00,50.619,ACTUAL
MTR-USA-183,2026-05-21T03:00:00,212.271,ACTUAL
MTR-USA-183,2026-05-21T04:00:00,63.515,ACTUAL
MTR-USA-183,2026-05-21T05:00:00,288.864,ACTUAL
MTR-USA-183,2026-05-21T06:00:00,281.483,ACTUAL
MTR-USA-183,2026-05-21T07:00:00,67.806,ACTUAL
MTR-USA-183,2026-05-21T08:00:00,220.218,ACTUAL
MTR-USA-183,2026-05-21T09:00:00,256.499,ACTUAL
MTR-USA-183,2026-05-21T10:00:00,123.337,ACTUAL
MTR-USA-183,2026-05-21T11:00:00,227.875,ACTUAL
MTR-USA-183,2026-05-21T12:00:00,481.509,ACTUAL
MTR-USA-183,2026-05-21T13:00:00,297.604,ACTUAL
MTR-USA-183,2026-05-21T14:00:00,183.878,ACTUAL
MTR-USA-183,2026-05-21T15:00:00,61.908,ACTUAL
MTR-USA-183,2026-05-21T16:00:00,574.091,ACTUAL
MTR-USA-183,2026-05-21T17:00:00,151.167,ACTUAL
MTR-USA-183,2026-05-21T18:00:00,418.846,ACTUAL
MTR-USA-183,2026-05-21T19:00:00,194.443,ACTUAL
MTR-USA-183,2026-05-21T20:00:00,391.197,ACTUAL
MTR-USA-183,2026-05-21T21:00:00,417.614,ACTUAL
MTR-USA-183,2026-05-21T22:00:00,540.333,ACTUAL
